# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
bing hong cha 	冰紅茶	c=2 d=4.94143e-23 t=53366
bing ji luan tou yi 	病急亂投醫	c=1 d=1 t=52264
bing jiang 	並將	c=1 d=9.78167e-06 t=53366
bing mei you 	並沒有	c=4 d=0.18604 t=53366
bing qie 	並且	c=37 d=2.26522 t=53366
bing qing 	病情	c=1 d=2.24363e-07 t=53366
bing ren 	病人	c=1 d=1 t=34835
bing xiang 	冰箱	c=6 d=7.82971e-05 t=53366
bing xing 	並行	c=8 d=0.438235 t=53366
bing xing ji 	並行機	c=3 d=7.42989e-06 t=53366
bing yi 	並以	c=3 d=1 t=28918
bing zai 	並在	c=2 d=0.000561443 t=53366
bo 	伯	c=4 d=2.49639 t=53366
bo 	博	c=14 d=0.405695 t=53366
bo 	撥	c=1 d=0.290835 t=53366
bo 	波	c=5 d=0.0156453 t=53366
bo 	蔔	c=1 d=5.03201e-39 t=53366
bo 	駁	c=1 d=1 t=1254
bo ba 	波霸	c=1 d=1 t=38236
bo da 	撥打	c=1 d=0.0324652 t=53366
bo dong 	波動	c=3 d=2.61392e-10 t=53366
bo duan 	波段	c=1 d=4.88079e-33 t=53366
bo duo 	剝奪	c=1 d=1.35381e-05 t=53366
bo fang 	播放	c=1 d=2.99071e-06 t=53366
bo fang qi 	播放器	c=1 d=0.0335406 t=53366
bo hao 	撥號	c=4 d=2.02522e-08 t=53366
bo he 	薄荷	c=2 d=0.101774 t=53366
bo hu 	伯虎	c=1 d=0.0992613 t=53366
bo ji xiao si 	波積小思	c=1 d=0.157237 t=53366
bo ke 	博客	c=6 d=0.167797 t=53366
bo la tu 	柏拉圖	c=2 d=5.12562e-41 t=53366
bo li 	玻璃	c=2 d=0.0142696 t=53366
bo shi 	博士	c=40 d=0.386794 t=53366
bo shi lun wen 	博士論文	c=2 d=1.62814 t=2949
bo shi sheng 	博士生	c=1 d=1 t=22201
bo shi yan jiu sheng 	博士研究生	c=3 d=0.00200728 t=53366
bo wen 	博文	c=2 d=2.32558e-06 t=53366
bo wu guan 	博物館	c=13 d=0.494109 t=53366
bo xue 	博學	c=1 d=1.90068e-26 t=53366
bo yi 	博弈	c=3 d=0.144529 t=53366
bo yi lun 	博弈論	c=0 d=0.00672055 t=53366
bo yin 	波音	c=1 d=1 t=39982
bo zhong 	伯仲	c=1 d=1 t=43286
bu 	不	c=84 d=1.09292 t=53366
bu 	布	c=2 d=0.00428521 t=53366
bu 	步	c=1 d=1 t=47863
bu 	補	c=4 d=4.91812e-05 t=53366
bu 	部	c=2 d=0.0365162 t=53366
bu an 	不安	c=1 d=1.81865e-07 t=53366
bu bi 	不必	c=1 d=0.00113061 t=53366
bu bi yao 	不必要	c=3 d=1 t=28128
bu bian 	不便	c=1 d=0.162026 t=53366
bu bian 	不變	c=1 d=0.0026189 t=53366
bu biao bai 	不表白	c=1 d=7.56041e-05 t=53366
bu can jia 	不參加	c=2 d=1 t=28516
bu cha 	不差	c=1 d=1 t=46156
bu chang 	步長	c=2 d=0.00891518 t=53366
bu chang 	補償	c=2 d=1 t=50753
bu cheng gong 	不成功	c=1 d=1.17451e-10 t=53366
bu cheng ren 	不承認	c=0 d=3.00356e-28 t=53366
bu chi 	不吃	c=4 d=2.36517e-10 t=53366
bu chong 	補充	c=9 d=1.0146 t=52001
bu chou 	不愁	c=1 d=2.91321e-50 t=53366
bu chu 	不出	c=1 d=2.77508e-08 t=53366
bu chuan 	不穿	c=1 d=2.34356e-49 t=53366
bu cun zai 	不存在	c=2 d=0.358796 t=53366
bu cun zai de 	不存在的	c=1 d=1 t=18258
bu cuo 	不錯	c=15 d=0.709077 t=53366
bu da 	不大	c=3 d=0.0303521 t=53366
bu da suan 	不打算	c=1 d=5.94925e-09 t=53366
bu dai 	不帶	c=2 d=8.10389e-49 t=53366
bu dai 	布袋	c=1 d=4.71628e-12 t=53366
bu dao 	不到	c=6 d=0.102284 t=53366
bu de 	不得	c=2 d=3.70813e-25 t=53366
bu de bu 	不得不	c=0 d=3.9136e-24 t=53366
bu de bu cheng ren 	不得不承認	c=1 d=3.01861e-27 t=53366
bu de bu shuo 	不得不說	c=1 d=3.93321e-23 t=53366
bu dei 	不得	c=1 d=1 t=30152
bu deng shi 	不等式	c=2 d=1.99005 t=44932
bu diao 	不掉	c=0 d=4.01944e-05 t=53366
bu ding 	補丁	c=1 d=1 t=2362
bu ding qi 	不定期	c=1 d=1 t=21547
bu ding shi 	不定時	c=1 d=1 t=52395
bu ding xing 	不定形	c=1 d=1 t=41500
bu dong 	不動	c=2 d=4.07454e-48 t=53366
bu dong 	不懂	c=1 d=1 t=28601
bu duan 	不斷	c=15 d=0.712778 t=53366
bu dui 	不對	c=6 d=0.00557201 t=53366
bu dui cheng 	不對稱	c=1 d=0.0335406 t=53366
bu duo 	不多	c=2 d=0.000241172 t=53366
bu fa 	步伐	c=1 d=1.05964e-05 t=53366
bu fa 	補發	c=3 d=0.235746 t=53366
bu fang 	不放	c=1 d=6.87033e-26 t=53366
bu fang bian 	不方便	c=1 d=1.28136e-05 t=53366
bu fang xin 	不放心	c=1 d=1.05124e-29 t=53366
bu fen 	部分	c=87 d=1.32494 t=53366
bu fu 	不服	c=1 d=9.30303e-05 t=53366
bu fu 	不符	c=1 d=1 t=23415
bu fu he 	不符合	c=1 d=2.08577e-31 t=53366
bu gai 	不改	c=1 d=1 t=20738
bu gai bian 	不改變	c=1 d=1 t=46646
bu gan 	不敢	c=1 d=1 t=46224
bu gan xin 	不甘心	c=1 d=1.30899e-50 t=53366
bu gan yu 	不干預	c=1 d=0.0682212 t=53366
bu gao 	不高	c=7 d=7.48646e-07 t=53366
bu gong 	不公	c=1 d=1 t=50219
bu gong ping 	不公平	c=3 d=1.86352 t=50186
bu gou 	不夠	c=10 d=0.00110822 t=53366
bu gou ju ti 	不夠具體	c=1 d=1 t=162
bu gou yong 	不夠用	c=1 d=1 t=10823
bu gu 	不顧	c=1 d=7.15825e-09 t=53366
bu guai 	不怪	c=2 d=8.1238e-27 t=53366
bu guan 	不管	c=6 d=0.0215762 t=53366
bu guan xin 	不關心	c=1 d=1 t=2734
bu guang 	不光	c=1 d=5.88805e-05 t=53366
bu guo 	不過	c=24 d=0.807558 t=53366
bu hao 	不好	c=9 d=0.264021 t=53366
bu hao yi si 	不好意思	c=4 d=0.231776 t=53366
bu he 	不喝	c=2 d=1 t=50893
bu he ge 	不合格	c=1 d=5.52408e-19 t=53366
bu he li 	不合理	c=1 d=4.28667e-06 t=53366
bu huan gua er huan bu jun 	不患寡而患不均	c=1 d=1 t=50253
bu hui 	不會	c=15 d=0.276651 t=53366
bu hui cuo 	不會錯	c=1 d=1 t=1668
bu hui lai 	補回來	c=1 d=1 t=45790
bu hui tou 	不迴頭	c=1 d=2.89621e-40 t=53366
bu huo 	捕獲	c=1 d=0.0150707 t=53366
bu ji 	不及	c=1 d=1.53084e-39 t=53366
bu ji 	不計	c=1 d=2.95472e-40 t=53366
bu ji shi 	不及時	c=1 d=5.50513e-08 t=53366
bu jia 	不加	c=1 d=1 t=18715
bu jian 	不見	c=2 d=0.136695 t=53366
bu jian 	部件	c=2 d=1.07172 t=32741
bu jian kang 	不健康	c=1 d=1 t=2194
bu jian rong 	不兼容	c=1 d=0.0100017 t=53366
bu jian yi 	不建議	c=1 d=1 t=35001
bu jie yi 	不介意	c=1 d=1.42197e-24 t=53366
bu jin 	不僅	c=4 d=1 t=49865
bu jin jin 	不僅僅	c=2 d=0.08291 t=53366
bu jing 	不經	c=1 d=1.62971e-40 t=53366
bu jing tong 	不精通	c=1 d=0.00032718 t=53366
bu jiu 	不久	c=2 d=7.8703e-07 t=53366
bu jiu 	不就	c=2 d=0.000735471 t=53366
bu jiu shi 	不就是	c=1 d=4.79572e-32 t=53366
bu ju 	佈局	c=2 d=7.49918e-18 t=53366
bu ju bei 	不具備	c=2 d=1 t=13767
bu ju you 	不具有	c=1 d=2.3287e-33 t=53366
bu jue 	不覺	c=1 d=4.5643e-09 t=53366
bu jun 	不均	c=1 d=1 t=8271
bu kai xin 	不開心	c=1 d=1 t=49167
bu kan 	不堪	c=1 d=0.0147723 t=53366
bu kan 	不看	c=1 d=0.000898306 t=53366
bu kao pu 	不靠譜	c=1 d=9.41734e-30 t=53366
bu ke 	不可	c=13 d=0.029523 t=53366
bu ke neng 	不可能	c=5 d=0.000450569 t=53366
bu ke qi 	不客氣	c=1 d=7.47094e-12 t=53366
bu ke re dian 	不可熱點	c=1 d=0.29671 t=53366
bu ke wei zao 	不可僞造	c=1 d=1 t=3316
bu ke xi 	補可惜	c=1 d=1.17431e-08 t=53366
bu ke yong 	不可用	c=1 d=1 t=15173
bu ke zai sheng 	不可再生	c=1 d=1 t=24878
bu li 	不利	c=3 d=2.90305 t=50085
bu li yu 	不利於	c=1 d=1 t=11502
bu lian 	不練	c=1 d=0.161218 t=53366
bu lian xi 	不聯繫	c=5 d=1.98511 t=36588
bu liang 	不良	c=2 d=0.00934807 t=53366
bu liang de 	不良的	c=1 d=0.0939493 t=53366
bu liao 	不了	c=1 d=0.0112206 t=53366
bu liao jie 	不瞭解	c=2 d=0.00482001 t=53366
bu liu 	不留	c=1 d=1 t=28518
bu lu 	補錄	c=2 d=1.90484 t=48487
bu lu ke 	布魯克	c=1 d=4.65794e-42 t=53366
bu lun 	不論	c=1 d=0.000788798 t=53366
bu man yi 	不滿意	c=1 d=1 t=48519
bu men 	部門	c=13 d=2.99351e-07 t=53366
bu ming bai 	不明白	c=1 d=2.10895e-14 t=53366
bu ming xian 	不明顯	c=1 d=1.19019e-19 t=53366
bu nan 	不難	c=1 d=2.71579e-48 t=53366
bu neng 	不能	c=45 d=0.874515 t=53366
bu neng yong 	不能用	c=2 d=0.687289 t=53366
bu niao 	捕鳥	c=1 d=0.932394 t=53366
bu pa 	不怕	c=1 d=1 t=24926
bu ping deng 	不平等	c=1 d=1 t=37289
bu ping heng 	不平衡	c=1 d=1 t=8254
bu qi er yu 	不期而遇	c=1 d=0.00628242 t=53366
bu qian 	不前	c=1 d=2.2094e-32 t=53366
bu qiao 	不巧	c=1 d=1.52694e-09 t=53366
bu qie shi ji 	不切實際	c=1 d=2.98543e-44 t=53366
bu qing chu 	不清楚	c=8 d=0.0395575 t=53366
bu qu 	不去	c=4 d=0.00509243 t=53366
bu quan 	補全	c=1 d=0.0385808 t=53366
bu que ding 	不確定	c=34 d=8.3167e-09 t=53366
bu que ding xing 	不確定性	c=14 d=1 t=44978
bu ran 	不然	c=8 d=1.03383e-09 t=53366
bu rang 	不讓	c=2 d=0.11181 t=53366
bu re 	不熱	c=1 d=1 t=31915
bu ren zhen 	不認真	c=1 d=2.83202e-41 t=53366
bu rong 	不容	c=1 d=1 t=49748
bu rong hu shi 	不容忽視	c=1 d=1 t=40138
bu rong yi 	不容易	c=6 d=1.00933e-37 t=53366
bu ru 	不入	c=1 d=9.98097e-08 t=53366
bu ru 	不如	c=6 d=1 t=51510
bu ru 	步入	c=1 d=5.80138e-07 t=53366
bu ru 	補入	c=1 d=1 t=48033
bu shang 	不上	c=5 d=0.913931 t=53366
bu shang 	補上	c=1 d=0.00209124 t=53366
bu shao 	不少	c=1 d=1 t=1850
bu she ji 	不涉及	c=1 d=1 t=17920
bu shi 	不失	c=3 d=1.05652e-36 t=53366
bu shi 	不是	c=73 d=1.15387 t=53366
bu shi 	不適	c=3 d=0.00812911 t=53366
bu shi he 	不適合	c=2 d=0.00348252 t=53366
bu shi yong 	不適用	c=1 d=4.00653e-05 t=53366
bu shou 	不受	c=1 d=1 t=43283
bu shou 	不守	c=0 d=3.16357e-21 t=53366
bu shou gui ju 	不守規矩	c=1 d=3.17943e-20 t=53366
bu shu 	不熟	c=1 d=1 t=43033
bu shu 	部署	c=8 d=1.70399e-06 t=53366
bu shu xi 	不熟悉	c=2 d=1 t=44434
bu shu yu 	不屬於	c=2 d=3.09659e-25 t=53366
bu shuang 	不爽	c=1 d=4.33123e-10 t=53366
bu shuo 	不說	c=1 d=1 t=30623
bu suan 	不算	c=1 d=0.00124328 t=53366
bu tai 	不太	c=13 d=0.0963276 t=53366
bu tie 	補貼	c=1 d=1.29156e-10 t=53366
bu tong 	不同	c=91 d=2.12631 t=53366
bu tong 	不通	c=1 d=1 t=38365
bu tong de 	不同的	c=1 d=5.70025e-06 t=53366
bu tong guo 	不通過	c=1 d=1 t=6622
bu tong shun 	不通順	c=1 d=9.87998e-06 t=53366
bu tong yong hu 	不同用戶	c=1 d=1 t=53059
bu tong yu 	不同於	c=1 d=0.0645703 t=53366
bu tui jian 	不推薦	c=1 d=3.98655e-05 t=53366
bu tuo 	不妥	c=1 d=1 t=36135
bu wan bei 	不完備	c=2 d=1.9802 t=10780
bu wan shan 	不完善	c=1 d=1 t=49904
bu wei 	部位	c=1 d=1 t=40611
bu wen ding 	不穩定	c=2 d=1 t=27131
bu xi guan 	不習慣	c=1 d=8.59217e-10 t=53366
bu xi huan 	不喜歡	c=2 d=0.0557464 t=53366
bu xia yu 	不下雨	c=0 d=0.00202419 t=53366
bu xia yu le 	不下雨了	c=1 d=0.0203434 t=53366
bu xian shi 	不顯示	c=1 d=9.31095e-14 t=53366
bu xian yu 	不限於	c=1 d=5.6028e-09 t=53366
bu xiang 	不像	c=3 d=1 t=43439
bu xiang 	不想	c=11 d=0.0397558 t=53366
bu xiang 	不相	c=1 d=1 t=43285
bu xiang bo zhong 	不相伯仲	c=1 d=1 t=1988
bu xiang feng 	不相逢	c=1 d=1 t=42786
bu xiang gan 	不相干	c=1 d=0.00388746 t=53366
bu xiang guan 	不相關	c=1 d=1 t=44144
bu xiang mai 	不想買	c=1 d=1 t=45012
bu xiang shang xia 	不相上下	c=1 d=1 t=38185
bu xiang xin 	不相信	c=1 d=1 t=19230
bu xiao xin 	不小心	c=1 d=1 t=45730
bu xie 	不謝	c=2 d=0.000350943 t=53366
bu xie 	布鞋	c=1 d=0.66365 t=53366
bu xin ren 	不信任	c=2 d=1.19301 t=3842
bu xing 	不行	c=14 d=0.179964 t=53366
bu xing 	步行	c=3 d=2.21136e-13 t=53366
bu xing zhe 	步行者	c=1 d=2.53796e-16 t=53366
bu xiu 	不朽	c=1 d=6.60565e-05 t=53366
bu xiu de 	不朽的	c=0 d=0.0240508 t=53366
bu xiu de fan gao 	不朽的梵高	c=1 d=0.241714 t=53366
bu xiu gang 	不鏽鋼	c=1 d=6.58145e-50 t=53366
bu xu yao 	不需要	c=10 d=0.00305798 t=53366
bu xuan 	不選	c=1 d=0.0761538 t=53366
bu yao 	不要	c=27 d=0.929293 t=53366
bu yi 	不宜	c=1 d=0.000160856 t=53366
bu yi 	不已	c=1 d=3.15218e-07 t=53366
bu yi ding 	不一定	c=5 d=0.000157264 t=53366
bu yi ding hao 	不一定好	c=1 d=0.00158052 t=53366
bu yi hui 	不一會	c=2 d=0.285084 t=53366
bu yi yang 	不一樣	c=3 d=1 t=35491
bu yi zhi 	不一致	c=2 d=1.14508e-35 t=53366
bu yin 	不因	c=1 d=1.0031e-07 t=53366
bu ying gai 	不應該	c=3 d=0.235836 t=53366
bu ying xiang 	不影響	c=1 d=1.00796e-05 t=53366
bu yong 	不用	c=21 d=0.449329 t=53366
bu yong dong nao 	不用動腦	c=1 d=4.37164e-31 t=53366
bu you 	不有	c=1 d=0.000110003 t=53366
bu yuan 	不遠	c=1 d=4.82566e-17 t=53366
bu yuan 	不願	c=1 d=2.19614e-20 t=53366
bu yun xu 	不允許	c=1 d=1 t=51469
bu zai 	不再	c=3 d=0.109154 t=53366
bu zai 	不在	c=4 d=0.188247 t=53366
bu zai sheng 	不再生	c=1 d=1 t=42041
bu zai shi 	不再是	c=1 d=1 t=5622
bu zao shuo 	不早說	c=1 d=0.00255424 t=53366
bu zen me 	不怎麼	c=1 d=1.18362e-42 t=53366
bu zhang 	部長	c=2 d=0.39673 t=53366
bu zhao 	不着	c=2 d=6.70671e-28 t=53366
bu zhi 	不止	c=2 d=1.00359 t=22030
bu zhi 	不知	c=2 d=2.07649e-08 t=53366
bu zhi 	佈置	c=3 d=1.58909 t=53366
bu zhi bu jue 	不知不覺	c=1 d=0.00134011 t=53366
bu zhi chi 	不支持	c=2 d=0.000663146 t=53366
bu zhi dao 	不知道	c=36 d=0.401548 t=53366
bu zhi de 	不值得	c=1 d=1 t=51497
bu zhi fu 	不支付	c=1 d=0.0119742 t=53366
bu zhi jie 	不直接	c=2 d=1.62643e-48 t=53366
bu zhi ke fou 	不置可否	c=1 d=2.94048e-42 t=53366
bu zhi shi 	不只是	c=1 d=1.88177e-26 t=53366
bu zhi wang 	不指望	c=1 d=1 t=19183
bu zhi yi ti 	不值一提	c=1 d=1 t=37916
bu zhi yu 	不至於	c=1 d=8.19009e-05 t=53366
bu zhong yao 	不重要	c=1 d=1.14926e-19 t=53366
bu zhou 	步驟	c=19 d=1.6371e-05 t=53366
bu zhu 	不住	c=1 d=1.20486e-16 t=53366
bu zhuan 	不轉	c=1 d=1.98196e-48 t=53366
bu zhun 	不準	c=1 d=3.28016e-34 t=53366
bu zhuo 	捕捉	c=2 d=1.68729 t=10915
bu zou 	不走	c=1 d=0.114178 t=53366
bu zu 	不足	c=7 d=0.000137073 t=53366
bu zuo 	不做	c=1 d=1 t=3016
ca 	擦	c=1 d=0.000213028 t=53366
ca bu diao 	擦不掉	c=1 d=0.000205513 t=53366
cai 	才	c=14 d=0.947283 t=53366
cai 	猜	c=1 d=1.5892e-38 t=53366
cai 	菜	c=2 d=1.60245e-18 t=53366
cai 	蔡	c=16 d=0.0844247 t=53366
cai 	財	c=0 d=0.0013912 t=53366
cai 	踩	c=1 d=0.1 t=51778
cai cai 	猜猜	c=1 d=0.0536647 t=53366
cai ce 	猜測	c=1 d=0.315058 t=53366
cai chang 	菜場	c=1 d=1.44847e-06 t=53366
cai dan 	菜單	c=1 d=5.00095e-25 t=53366
cai dao 	猜到	c=1 d=5.06687e-32 t=53366
cai dui 	纔對	c=1 d=4.13923e-06 t=53366
cai fang 	採訪	c=1 d=1.62634e-45 t=53366
cai feng 	裁縫	c=1 d=0.000319102 t=53366
cai fu 	財富	c=7 d=0.00255746 t=53366
cai gou 	採購	c=1 d=1.50518e-46 t=53366
cai guo jie 	踩過界	c=1 d=1 t=51779
cai ji 	採集	c=1 d=0.000699601 t=53366
cai kuang 	採礦	c=1 d=2.39342e-32 t=53366
cai liao 	材料	c=17 d=0.883461 t=53366
cai na 	採納	c=1 d=0.063609 t=53366
cai neng 	才能	c=12 d=0.0471326 t=53366
cai neng gou 	才能夠	c=1 d=1 t=40193
cai niao 	菜鳥	c=2 d=1 t=6573
cai qu 	採取	c=1 d=0.000133021 t=53366
cai qu 	纔去	c=1 d=1 t=42843
cai se 	彩色	c=1 d=0.00582847 t=53366
cai shi 	纔是	c=5 d=7.30162e-07 t=53366
cai si bei 	蔡思貝	c=1 d=1 t=51778
cai suan 	纔算	c=1 d=0.000626727 t=53366
cai tuan 	財團	c=1 d=1.27537e-38 t=53366
cai wu 	財務	c=5 d=0.860708 t=53366
cai wu chu 	財務處	c=1 d=0.00806679 t=53366
cai xiang 	猜想	c=1 d=0.250324 t=53366
cai xing 	才行	c=1 d=1.17471e-12 t=53366
cai yang 	採樣	c=1 d=0.000100535 t=53366
cai ying wen 	蔡英文	c=2 d=0.00148948 t=53366
cai yong 	採用	c=22 d=0.0639279 t=53366
cai you 	纔有	c=1 d=3.55347e-05 t=53366
cai yuan 	裁員	c=1 d=1 t=48703
cai zheng 	財政	c=1 d=1 t=50090
cai zhi dao 	才知道	c=1 d=1.35055e-06 t=53366
can 	慘	c=1 d=5.62896e-05 t=53366
can guan 	參觀	c=3 d=0.00219245 t=53366
can hui 	參會	c=3 d=7.67062e-20 t=53366
can ji 	殘疾	c=2 d=0.0987662 t=53366
can jia 	參加	c=17 d=1.58517 t=53366
can jian 	參見	c=2 d=3.06298e-14 t=53366
can kan 	參看	c=1 d=0.0095616 t=53366
can kao 	參考	c=14 d=1.78112 t=53366
can kao shu 	參考書	c=1 d=1 t=35430
can lan 	燦爛	c=0 d=7.00793e-25 t=53366
can lan ren sheng 	燦爛人生	c=1 d=7.04306e-24 t=53366
can shu 	參數	c=15 d=0.299782 t=53366
can ting 	餐廳	c=3 d=0.631284 t=53366
can xiang 	殘像	c=1 d=4.78496e-35 t=53366
can yu 	參與	c=9 d=0.356349 t=53366
can yu zhe 	參與者	c=1 d=0.000139842 t=53366
can zao 	慘遭	c=1 d=1 t=21911
can zhao 	參照	c=2 d=0.923116 t=53366
cang 	倉	c=3 d=1.09473e-06 t=53366
cang 	藏	c=5 d=3.33381e-19 t=53366
cang ku 	倉庫	c=5 d=0.567129 t=53366
cang ruo 	倉弱	c=1 d=1.10611e-10 t=53366
cang tian 	蒼天	c=1 d=2.30278e-19 t=53366
cao 	曹	c=1 d=1.05199e-08 t=53366
cao 	槽	c=1 d=0.000958635 t=53366
cao 	草	c=1 d=1.10875e-38 t=53366
cao bao 	曹豹	c=1 d=0.018043 t=53366
cao cao 	曹操	c=1 d=0.995012 t=53366
cao chang 	操場	c=1 d=1 t=20460
cao di 	草地	c=1 d=0.172045 t=53366
cao gao 	草稿	c=1 d=0.45612 t=53366
cao hong 	曹洪	c=1 d=0.0158434 t=53366
cao mao 	草帽	c=1 d=0.000198445 t=53366
cao ni 	草擬	c=2 d=7.60736e-19 t=53366
cao ou 	曹禺	c=1 d=1 t=36912
cao pan 	操盤	c=1 d=6.99698e-35 t=53366
cao za 	嘈雜	c=1 d=1.00153e-18 t=53366
cao zuo 	操作	c=24 d=0.789501 t=53366
cao zuo xi tong 	操作系統	c=1 d=4.31183e-16 t=53366
cao zuo xing 	操作性	c=1 d=7.60995e-23 t=53366
ce 	側	c=3 d=0.0212547 t=53366
ce 	測	c=2 d=9.37386e-05 t=53366
ce bian 	側邊	c=1 d=1.1804e-10 t=53366
ce ding 	測定	c=1 d=2.15302e-22 t=53366
ce du 	測度	c=1 d=0.00470091 t=53366
ce liang 	測量	c=1 d=3.1554e-19 t=53366
ce lve 	策略	c=55 d=0.339596 t=53366
ce mian 	側面	c=1 d=2.30435e-27 t=53366
ce ping 	測評	c=2 d=1.21627e-07 t=53366
ce shi 	測試	c=19 d=2.84435 t=53366
ce shi ji 	測試集	c=1 d=0.000103597 t=53366
ce shuo 	測說	c=1 d=6.38694e-50 t=53366
ce suo 	廁所	c=1 d=0.110251 t=53366
ce wang su 	測網速	c=1 d=1.10288e-05 t=53366
ce yan 	測驗	c=2 d=1.07577 t=34079
ce zhong 	側重	c=1 d=1.77768e-33 t=53366
ceng 	層	c=19 d=0.501576 t=53366
ceng 	蹭	c=1 d=0.0359725 t=53366
ceng chu 	層出	c=1 d=0.344728 t=53366
ceng chu bu qiong 	層出不窮	c=1 d=0.346456 t=53366
ceng ci 	層次	c=13 d=0.425283 t=53366
ceng ci xing 	層次性	c=1 d=2.21595e-08 t=53366
ceng ji 	層級	c=1 d=1 t=3160
ceng jing 	曾經	c=2 d=2.8896e-41 t=53366
ceng mian 	層面	c=7 d=0.00255424 t=53366
cha 	叉	c=1 d=2.42118e-50 t=53366
cha 	差	c=9 d=0.00980231 t=53366
cha 	插	c=3 d=0.00283702 t=53366
cha 	查	c=9 d=0.031117 t=53366
cha 	茬	c=2 d=2.36517e-10 t=53366
cha 	茶	c=5 d=0.181772 t=53366
cha bie 	差別	c=2 d=1.22498e-05 t=53366
cha bu dao 	查不到	c=3 d=0.918512 t=53366
cha bu duo 	差不多	c=11 d=0.534354 t=53366
cha cha 	查查	c=3 d=0.0645703 t=53366
cha dao 	查到	c=3 d=0.0475678 t=53366
cha dian 	差點	c=1 d=1 t=34221
cha e 	差額	c=1 d=0.00621991 t=53366
cha guo 	查過	c=1 d=0.025223 t=53366
cha jia 	差價	c=1 d=2.24547e-46 t=53366
cha jian 	插件	c=4 d=0.278037 t=53366
cha ju 	差距	c=2 d=1 t=49584
cha jue 	察覺	c=1 d=1 t=19037
cha kan 	查看	c=18 d=1.72646 t=53366
cha liang 	差量	c=2 d=1.99005 t=48048
cha lu 	岔路	c=3 d=1.00102 t=34913
cha ping 	差評	c=3 d=0.0334943 t=53366
cha ru 	插入	c=7 d=2.78852e-06 t=53366
cha shang 	插上	c=2 d=1.00014 t=35040
cha shou 	查收	c=7 d=0.204705 t=53366
cha tu 	插圖	c=2 d=0.186374 t=53366
cha xun 	查詢	c=4 d=0.095393 t=53366
cha yi 	差異	c=8 d=0.0242268 t=53366
cha yi 	詫異	c=1 d=5.30116e-05 t=53366
cha yi hua 	差異化	c=1 d=0.1 t=39827
cha yi xia 	查一下	c=2 d=0.00711891 t=53366
cha yue 	查閱	c=1 d=1 t=35378
cha zhao 	查找	c=4 d=0.329559 t=53366
cha zhen 	插針	c=1 d=2.28103e-25 t=53366
chai 	儕	c=1 d=9.07643e-08 t=53366
chai 	拆	c=3 d=0.831104 t=53366
chai 	柴	c=1 d=0.519442 t=53366
chai fen 	拆分	c=3 d=2.88785e-06 t=53366
chai jie 	拆解	c=1 d=1 t=43985
chai kai 	拆開	c=1 d=2.49805e-06 t=53366
chai lv 	差旅	c=1 d=1 t=43395
chai xia 	拆下	c=1 d=6.01007e-11 t=53366
chai xie 	拆卸	c=1 d=0.00285124 t=53366
chan 	產	c=1 d=1 t=21633
chan 	蟬	c=1 d=1 t=27067
chan 	鏟	c=1 d=0.535261 t=53366
chan che 	剷車	c=1 d=6.42681e-35 t=53366
chan chu 	產出	c=1 d=1 t=7308
chan mei 	諂媚	c=1 d=0.0184074 t=53366
chan pian 	產篇	c=1 d=1 t=40133
chan pin 	產品	c=39 d=0.299322 t=53366
chan sheng 	產生	c=13 d=0.615697 t=53366
chan shi 	闡釋	c=2 d=8.91821e-07 t=53366
chan shu 	闡述	c=4 d=0.00010569 t=53366
chan wu 	產物	c=1 d=6.95853e-29 t=53366
chan xian 	產線	c=1 d=0.225373 t=53366
chan ye 	產業	c=13 d=1.40934 t=53366
chan ye fu wu 	產業服務	c=1 d=1 t=53163
chan ye lian 	產業鏈	c=15 d=0.453886 t=53366
chang 	唱	c=3 d=0.00814786 t=53366
chang 	場	c=5 d=0.219671 t=53366
chang 	常	c=2 d=0.0493249 t=53366
chang 	廠	c=8 d=1 t=52726
chang 	暢	c=1 d=2.39757e-23 t=53366
chang 	腸	c=3 d=2.95556 t=41134
chang 	長	c=8 d=0.028207 t=53366
chang chang 	嘗嘗	c=1 d=1 t=27304
chang chang 	常常	c=4 d=0.927762 t=53366
chang chu 	長處	c=1 d=1 t=37410
chang di 	場地	c=1 d=8.93188e-25 t=53366
chang du 	長度	c=6 d=0.615697 t=53366
chang duan 	長短	c=1 d=1 t=14910
chang ge 	唱歌	c=0 d=0.1 t=15966
chang gui 	常規	c=4 d=0.000218221 t=53366
chang jia 	廠家	c=1 d=1 t=40655
chang jian 	常見	c=1 d=4.19094e-05 t=53366
chang jiang 	長江	c=1 d=1.50028e-37 t=53366
chang jing 	場景	c=11 d=0.197045 t=53366
chang kong 	長空	c=1 d=1 t=34500
chang lang 	長廊	c=1 d=0.147342 t=53366
chang nian 	常年	c=1 d=0.0031042 t=53366
chang qi 	長期	c=5 d=0.000518277 t=53366
chang sha 	長沙	c=1 d=0.138761 t=53366
chang shi 	嘗試	c=11 d=1.23479 t=53366
chang shi jian 	長時間	c=3 d=0.0119145 t=53366
chang shou 	長壽	c=3 d=2.92688 t=30554
chang shu 	常數	c=1 d=9.24059e-13 t=53366
chang shu 	常熟	c=1 d=2.66346e-25 t=53366
chang tu 	長途	c=3 d=2.18934e-05 t=53366
