# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	23402
#@/user_id	sky_mac
a 	啊	c=0 d=4.75447e-49 t=23402
bu jin jin 	不僅僅	c=1 d=0.08291 t=23402
bu jing 	不經	c=1 d=1.62971e-40 t=23402
bu jing tong 	不精通	c=1 d=0.00032718 t=23402
bu jiu 	不久	c=2 d=1.06349e-06 t=23402
bu jiu 	不就	c=1 d=3.05216e-10 t=23300
bu jiu shi 	不就是	c=1 d=4.79572e-32 t=23402
bu ju 	佈局	c=2 d=0.018968 t=23402
bu ju you 	不具有	c=1 d=2.3287e-33 t=23402
bu jue 	不覺	c=1 d=4.5643e-09 t=23300
bu jue de 	不覺得	c=1 d=1 t=20472
bu kai qi 	不開啓	c=1 d=1 t=21916
bu kan 	不堪	c=1 d=0.0147723 t=23402
bu kan 	不看	c=1 d=0.000898306 t=23402
bu kao pu 	不靠譜	c=1 d=9.41734e-30 t=23402
bu ke 	不可	c=3 d=0.029523 t=23402
bu ke neng 	不可能	c=2 d=0.000450569 t=23402
bu ke qi 	不客氣	c=1 d=7.47094e-12 t=23402
bu ke re dian 	不可熱點	c=1 d=0.29671 t=23402
bu ke xi 	補可惜	c=1 d=1.17431e-08 t=23402
bu lian 	不練	c=1 d=0.161218 t=23402
bu liang 	不良	c=2 d=0.00934807 t=23402
bu liang de 	不良的	c=1 d=0.0939493 t=23402
bu liao 	不了	c=2 d=4.87001e-07 t=23402
bu liao jie 	不瞭解	c=2 d=0.00482001 t=23402
bu lu ke 	布魯克	c=1 d=4.65794e-42 t=23402
bu lun 	不論	c=1 d=0.000788798 t=23300
bu men 	部門	c=4 d=2.99351e-07 t=23402
bu ming bai 	不明白	c=1 d=2.10895e-14 t=23402
bu ming xian 	不明顯	c=1 d=1.19019e-19 t=23402
bu nan 	不難	c=1 d=2.71579e-48 t=23402
bu neng 	不能	c=45 d=0.874515 t=23402
bu neng yong 	不能用	c=1 d=0.687289 t=23402
bu niao 	捕鳥	c=1 d=0.932394 t=23402
bu qi er yu 	不期而遇	c=1 d=0.00628242 t=23300
bu qian 	不前	c=1 d=3.41694e-44 t=23402
bu qiang 	不強	c=1 d=1 t=22378
bu qiao 	不巧	c=1 d=1.52694e-09 t=23300
bu qie shi ji 	不切實際	c=1 d=2.98543e-44 t=23402
bu qing chu 	不清楚	c=1 d=0.0395575 t=23402
bu qu 	不去	c=4 d=0.00509243 t=23402
bu quan 	補全	c=1 d=0.0385808 t=23402
bu que ding 	不確定	c=5 d=0.16144 t=23402
bu que ding xing 	不確定性	c=2 d=1.57121 t=22688
bu ran 	不然	c=3 d=1.03383e-09 t=23402
bu rang 	不讓	c=2 d=0.11181 t=23300
bu ren zhen 	不認真	c=1 d=2.83202e-41 t=23402
bu rong yi 	不容易	c=1 d=8.50667e-10 t=23402
bu ru 	不入	c=1 d=9.98097e-08 t=23300
bu ru 	步入	c=1 d=5.80138e-07 t=23402
bu shang 	不上	c=5 d=0.913931 t=23402
bu shang 	補上	c=1 d=0.00209124 t=23402
bu shao 	不少	c=1 d=1 t=20820
bu shi 	不失	c=3 d=1.05652e-36 t=23402
bu shi 	不是	c=35 d=1.15387 t=23402
bu shi 	不適	c=3 d=0.00812911 t=23402
bu shi he 	不適合	c=1 d=0.00348252 t=23402
bu shi yong 	不適用	c=1 d=4.00653e-05 t=23300
bu shou 	不守	c=0 d=3.16357e-21 t=23402
bu shou gui ju 	不守規矩	c=1 d=3.17943e-20 t=23402
bu shu 	部署	c=5 d=1.70399e-06 t=23402
bu shu yu 	不屬於	c=2 d=3.09659e-25 t=23402
bu shuang 	不爽	c=1 d=4.33123e-10 t=23300
bu suan 	不算	c=1 d=0.00124328 t=23300
bu tai 	不太	c=5 d=0.00585769 t=23402
bu tie 	補貼	c=1 d=1.29156e-10 t=23402
bu tong 	不同	c=25 d=0.895073 t=23402
bu tong de 	不同的	c=1 d=5.70025e-06 t=23300
bu tong shun 	不通順	c=1 d=9.87998e-06 t=23402
bu tong xing 	不同性	c=1 d=1 t=22610
bu tong yu 	不同於	c=2 d=0.0645703 t=23300
bu tui jian 	不推薦	c=1 d=3.98655e-05 t=23402
bu wei 	部位	c=1 d=1 t=22394
bu xi guan 	不習慣	c=1 d=8.59217e-10 t=23300
bu xi huan 	不喜歡	c=2 d=0.0557464 t=23300
bu xia yu 	不下雨	c=0 d=0.00202419 t=23300
bu xia yu le 	不下雨了	c=1 d=0.0203434 t=23300
bu xian shi 	不顯示	c=1 d=1.17347e-29 t=23402
bu xian yu 	不限於	c=1 d=5.6028e-09 t=23402
bu xiang 	不想	c=11 d=0.0397558 t=23402
bu xiang gan 	不相干	c=1 d=0.00388746 t=23402
bu xie 	不謝	c=2 d=0.000350943 t=23300
bu xie 	布鞋	c=1 d=0.66365 t=23402
bu xing 	不行	c=6 d=0.216647 t=23402
bu xing 	步行	c=3 d=9.45369e-18 t=23402
bu xing zhe 	步行者	c=1 d=2.53796e-16 t=23402
bu xiu 	不朽	c=1 d=6.60565e-05 t=23300
bu xiu de 	不朽的	c=0 d=0.0240508 t=23402
bu xiu de fan gao 	不朽的梵高	c=1 d=0.241714 t=23402
bu xiu gang 	不鏽鋼	c=1 d=6.58145e-50 t=23402
bu xu yao 	不需要	c=3 d=0.00031751 t=23402
bu xuan 	不選	c=1 d=0.0761538 t=23402
bu yao 	不要	c=19 d=0.929293 t=23402
bu yi 	不宜	c=1 d=0.000160856 t=23300
bu yi 	不已	c=1 d=3.15218e-07 t=23300
bu yi ding 	不一定	c=3 d=0.000157264 t=23402
bu yi ding hao 	不一定好	c=1 d=0.00158052 t=23402
bu yi hui 	不一會	c=2 d=0.285084 t=23300
bu yi zhi 	不一致	c=1 d=1.14508e-35 t=23402
bu yin 	不因	c=1 d=1.0031e-07 t=23300
bu ying gai 	不應該	c=3 d=0.235836 t=23402
bu ying xiang 	不影響	c=1 d=1.00796e-05 t=23402
bu yong 	不用	c=20 d=0.449329 t=23402
bu yong dong nao 	不用動腦	c=1 d=4.37164e-31 t=23402
bu you 	不有	c=1 d=0.000110003 t=23300
bu yuan 	不遠	c=1 d=4.82566e-17 t=23402
bu yuan 	不願	c=1 d=2.19614e-20 t=23402
bu zai 	不再	c=1 d=0.109154 t=23402
bu zai 	不在	c=4 d=0.188247 t=23402
bu zao shuo 	不早說	c=1 d=0.00255424 t=23402
bu zen me 	不怎麼	c=1 d=1.18362e-42 t=23402
bu zhang 	部長	c=2 d=0.39673 t=23402
bu zhao 	不着	c=2 d=6.70671e-28 t=23402
bu zhi 	不知	c=2 d=2.07649e-08 t=23402
bu zhi 	佈置	c=3 d=1.58909 t=23402
bu zhi bu jue 	不知不覺	c=1 d=0.00134011 t=23300
bu zhi chi 	不支持	c=2 d=0.000663146 t=23402
bu zhi dao 	不知道	c=19 d=0.401548 t=23402
bu zhi fu 	不支付	c=1 d=0.0119742 t=23402
bu zhi jie 	不直接	c=2 d=1.62643e-48 t=23402
bu zhi ke fou 	不置可否	c=1 d=2.94048e-42 t=23402
bu zhi shi 	不只是	c=1 d=1.88177e-26 t=23402
bu zhi yu 	不至於	c=1 d=8.19009e-05 t=23402
bu zhong yao 	不重要	c=1 d=1.14926e-19 t=23402
bu zhou 	步驟	c=3 d=2.42621e-08 t=23402
bu zhu 	不住	c=1 d=1.94073e-36 t=23402
bu zhuan 	不轉	c=1 d=1.98196e-48 t=23402
bu zhun 	不準	c=1 d=3.28016e-34 t=23402
bu zou 	不走	c=1 d=0.114178 t=23300
bu zu 	不足	c=1 d=0.000137073 t=23402
ca 	擦	c=1 d=0.000213028 t=23402
ca bu diao 	擦不掉	c=1 d=0.000205513 t=23300
cai 	才	c=9 d=0.947283 t=23402
cai 	猜	c=1 d=1.5892e-38 t=23402
cai 	菜	c=2 d=1.57605e-44 t=23402
cai 	蔡	c=1 d=0.00404611 t=23402
cai 	財	c=0 d=0.0013912 t=23402
cai cai 	猜猜	c=1 d=0.0536647 t=23402
cai ce 	猜測	c=1 d=0.315058 t=23402
cai chang 	菜場	c=1 d=1.44847e-06 t=23300
cai dan 	菜單	c=1 d=5.43536e-05 t=23402
cai dao 	猜到	c=1 d=5.06687e-32 t=23402
cai dui 	纔對	c=1 d=4.13923e-06 t=23402
cai fang 	採訪	c=1 d=1.62634e-45 t=23402
cai feng 	裁縫	c=1 d=0.000319102 t=23300
cai fu 	財富	c=7 d=0.00255746 t=23402
cai gou 	採購	c=1 d=1.50518e-46 t=23402
cai ji 	採集	c=2 d=8.5464e-06 t=23402
cai kuang 	採礦	c=1 d=2.39342e-32 t=23402
cai liao 	材料	c=15 d=0.883461 t=23402
cai na 	採納	c=1 d=0.063609 t=23402
cai neng 	才能	c=6 d=0.0471326 t=23402
cai qu 	採取	c=1 d=0.000133021 t=23300
cai se 	彩色	c=1 d=0.00582847 t=23402
cai shi 	纔是	c=4 d=7.30162e-07 t=23402
cai suan 	纔算	c=1 d=0.000626727 t=23402
cai tuan 	財團	c=1 d=1.27537e-38 t=23402
cai wu 	財務	c=5 d=0.860708 t=23402
cai wu chu 	財務處	c=1 d=0.00806679 t=23402
cai xiang 	猜想	c=1 d=0.250324 t=23402
cai xing 	才行	c=1 d=1.17471e-12 t=23402
cai yang 	採樣	c=1 d=0.000100535 t=23402
cai ying wen 	蔡英文	c=2 d=0.00148948 t=23402
cai yong 	採用	c=8 d=0.0639279 t=23402
cai you 	纔有	c=1 d=3.55347e-05 t=23402
cai zhi dao 	才知道	c=1 d=1.35055e-06 t=23300
can 	慘	c=1 d=5.62896e-05 t=23402
can guan 	參觀	c=4 d=0.00219245 t=23402
can hui 	參會	c=1 d=3.49688e-22 t=23402
can ji 	殘疾	c=2 d=0.0987662 t=23402
can jia 	參加	c=17 d=1.58517 t=23402
can jian 	參見	c=2 d=3.06298e-14 t=23402
can kan 	參看	c=1 d=0.0095616 t=23402
can kao 	參考	c=14 d=1.78112 t=23402
can lan 	燦爛	c=0 d=7.00793e-25 t=23402
can lan ren sheng 	燦爛人生	c=1 d=7.04306e-24 t=23402
can shu 	參數	c=13 d=0.107424 t=23402
can ting 	餐廳	c=3 d=0.631284 t=23402
can xiang 	殘像	c=1 d=4.78496e-35 t=23402
can yu 	參與	c=8 d=0.356349 t=23402
can yu zhe 	參與者	c=1 d=0.000139842 t=23402
can zhao 	參照	c=2 d=0.923116 t=23402
cang 	倉	c=3 d=1.09473e-06 t=23402
cang 	藏	c=1 d=3.31944e-27 t=23402
cang ku 	倉庫	c=5 d=0.567129 t=23402
cang ruo 	倉弱	c=1 d=1.10611e-10 t=23300
cang tian 	蒼天	c=1 d=2.30278e-19 t=23402
cao 	曹	c=1 d=1.05199e-08 t=23402
cao 	槽	c=1 d=0.000958635 t=23402
cao 	草	c=1 d=1.10875e-38 t=23402
cao bao 	曹豹	c=1 d=0.018043 t=23402
cao cao 	曹操	c=1 d=0.995012 t=23300
cao di 	草地	c=1 d=0.172045 t=23300
cao gao 	草稿	c=1 d=0.45612 t=23402
cao hong 	曹洪	c=1 d=0.0158434 t=23402
cao mao 	草帽	c=1 d=0.000198445 t=23402
cao ni 	草擬	c=2 d=7.60736e-19 t=23402
cao pan 	操盤	c=1 d=6.99698e-35 t=23402
cao za 	嘈雜	c=1 d=1.00153e-18 t=23402
cao zuo 	操作	c=11 d=0.789501 t=23402
cao zuo xi tong 	操作系統	c=1 d=4.31183e-16 t=23402
cao zuo xing 	操作性	c=1 d=7.60995e-23 t=23402
ce 	側	c=3 d=0.0212547 t=23402
ce 	測	c=2 d=9.37386e-05 t=23402
ce bian 	側邊	c=1 d=1.1804e-10 t=23300
ce ding 	測定	c=1 d=2.15302e-22 t=23402
ce du 	測度	c=1 d=0.00470091 t=23402
ce liang 	測量	c=2 d=0.0166601 t=23402
ce lve 	策略	c=11 d=0.339596 t=23402
ce mian 	側面	c=1 d=2.30435e-27 t=23402
ce ping 	測評	c=2 d=1.21627e-07 t=23402
ce shi 	測試	c=21 d=2.84435 t=23402
ce shi ji 	測試集	c=1 d=0.000103597 t=23300
ce shuo 	測說	c=1 d=6.38694e-50 t=23402
ce suo 	廁所	c=1 d=0.110251 t=23402
ce wang su 	測網速	c=1 d=1.10288e-05 t=23300
ce zhong 	側重	c=1 d=1.77768e-33 t=23402
ceng 	層	c=3 d=0.501576 t=23402
ceng 	蹭	c=1 d=0.0359725 t=23300
ceng chu 	層出	c=1 d=0.344728 t=23300
ceng chu bu qiong 	層出不窮	c=1 d=0.346456 t=23300
ceng ci 	層次	c=2 d=0.425283 t=23402
ceng ci xing 	層次性	c=1 d=2.21595e-08 t=23402
ceng jing 	曾經	c=2 d=2.8896e-41 t=23402
ceng mian 	層面	c=1 d=0.00255424 t=23300
cha 	叉	c=1 d=2.42118e-50 t=23402
cha 	差	c=1 d=3.94054e-10 t=23402
cha 	插	c=2 d=0.00283702 t=23402
cha 	查	c=9 d=0.031117 t=23402
cha 	茬	c=2 d=2.36517e-10 t=23402
cha 	茶	c=5 d=0.287941 t=23402
cha bie 	差別	c=2 d=1.22498e-05 t=23402
cha bu dao 	查不到	c=3 d=0.918512 t=23402
cha bu duo 	差不多	c=8 d=0.534354 t=23402
cha cha 	查查	c=3 d=0.0645703 t=23402
cha dao 	查到	c=3 d=0.0475678 t=23402
cha e 	差額	c=1 d=0.00621991 t=23402
cha guo 	查過	c=1 d=0.025223 t=23402
cha jia 	差價	c=1 d=2.24547e-46 t=23402
cha jian 	插件	c=7 d=0.661858 t=23402
cha kan 	查看	c=21 d=1.72646 t=23402
cha ping 	差評	c=3 d=0.0334943 t=23402
cha ru 	插入	c=7 d=9.54016e-06 t=23402
cha shou 	查收	c=6 d=0.204705 t=23402
cha tu 	插圖	c=2 d=0.186374 t=23402
cha xun 	查詢	c=4 d=0.095393 t=23402
cha yi 	差異	c=4 d=0.0242268 t=23402
cha yi 	詫異	c=1 d=5.30116e-05 t=23300
cha yi xia 	查一下	c=2 d=0.00711891 t=23402
cha zhao 	查找	c=2 d=0.329559 t=23402
cha zhen 	插針	c=1 d=2.28103e-25 t=23402
chai 	儕	c=1 d=9.07643e-08 t=23402
chai 	拆	c=2 d=0.831104 t=23402
chai 	柴	c=1 d=0.519442 t=23300
chai fen 	拆分	c=1 d=2.88785e-06 t=23402
chai kai 	拆開	c=1 d=2.49805e-06 t=23402
chai xia 	拆下	c=1 d=6.01007e-11 t=23402
chai xie 	拆卸	c=1 d=0.00285124 t=23300
chan 	禪	c=1 d=1 t=23233
chan 	鏟	c=1 d=0.535261 t=23402
chan che 	剷車	c=1 d=6.42681e-35 t=23402
chan mei 	諂媚	c=1 d=0.0184074 t=23402
chan pin 	產品	c=45 d=0.527038 t=23402
chan ping 	剷平	c=1 d=1 t=22814
chan sheng 	產生	c=7 d=0.069514 t=23402
chan shi 	闡釋	c=1 d=8.91821e-07 t=23402
chan shu 	闡述	c=4 d=0.00010569 t=23402
chan wu 	產物	c=1 d=6.95853e-29 t=23402
chan xian 	產線	c=2 d=0.225373 t=23300
chan ye 	產業	c=13 d=1.40934 t=23402
chan ye lian 	產業鏈	c=15 d=0.38375 t=23402
chang 	唱	c=3 d=0.00814786 t=23402
chang 	場	c=6 d=0.219671 t=23402
chang 	常	c=2 d=0.0493249 t=23402
chang 	暢	c=1 d=0.00319873 t=23402
chang 	長	c=6 d=0.028207 t=23402
chang chang 	常常	c=4 d=0.927762 t=23402
chang di 	場地	c=1 d=2.28343e-08 t=23402
chang du 	長度	c=3 d=0.615697 t=23402
chang gui 	常規	c=4 d=0.000218221 t=23402
chang jian 	常見	c=1 d=4.19094e-05 t=23300
chang jiang 	長江	c=1 d=1.50028e-37 t=23402
chang jing 	場景	c=7 d=0.197045 t=23402
chang lang 	長廊	c=1 d=0.147342 t=23402
chang nian 	常年	c=1 d=0.0031042 t=23300
chang qi 	長期	c=2 d=0.000518277 t=23402
chang sha 	長沙	c=1 d=0.138761 t=23402
chang shi 	嘗試	c=11 d=1.23479 t=23402
chang shi jian 	長時間	c=3 d=0.0119145 t=23402
chang shu 	常數	c=1 d=9.24059e-13 t=23402
chang shu 	常熟	c=1 d=2.66346e-25 t=23402
chang suo 	場所	c=1 d=1 t=21681
chang tu 	長途	c=3 d=2.18934e-05 t=23402
chang tui 	長腿	c=0 d=1.46852e-51 t=23402
chang xi 	唱戲	c=3 d=0.623853 t=23402
chang yong 	常用	c=2 d=0.017163 t=23402
chang zhu 	常住	c=1 d=1.15482e-17 t=23402
chang zhu 	常駐	c=1 d=0.00111936 t=23300
chao 	巢	c=0 d=3.4824e-33 t=23402
chao 	朝	c=1 d=1.01122e-43 t=23402
chao 	潮	c=2 d=5.56407e-45 t=23402
chao 	炒	c=2 d=3.15917e-33 t=23402
chao 	超	c=10 d=0.000132412 t=23402
chao bang 	超棒	c=1 d=0.0590129 t=23300
chao chu 	超出	c=2 d=0.000140543 t=23402
chao da 	超大	c=1 d=0.218712 t=23300
chao guo 	超過	c=3 d=0.946485 t=23402
chao ji 	超級	c=2 d=1.16544e-07 t=23402
chao mai 	超買	c=1 d=1.33067e-08 t=23402
chao qi 	超期	c=1 d=1 t=23210
chao ren 	超人	c=1 d=2.64055e-41 t=23402
chao sheng 	超聲	c=1 d=6.19732e-19 t=23402
chao sheng bo 	超聲波	c=1 d=3.85402e-19 t=23402
chao shi 	超市	c=3 d=0.00107019 t=23402
chao shi kong 	超時空	c=1 d=2.40542e-32 t=23402
chao tian 	朝天	c=1 d=9.73289e-06 t=23402
chao xian 	朝鮮	c=2 d=0.000816895 t=23402
chao xing 	超星	c=2 d=0.266644 t=23402
chao zai 	超載	c=2 d=1.19799 t=23300
che 	車	c=10 d=0.0784731 t=23402
che dao 	車刀	c=1 d=0.0889216 t=23300
che dao 	車道	c=1 d=0.00161245 t=23300
che di 	徹底	c=1 d=5.05895e-43 t=23402
che guan suo 	車管所	c=1 d=7.15072e-26 t=23402
che jian 	車間	c=9 d=0.537944 t=23402
che jian diao du 	車間調度	c=1 d=1.33711e-06 t=23402
che ku 	車庫	c=1 d=1.02229e-24 t=23402
che men 	車門	c=1 d=0.00670434 t=23300
che xiang 	車廂	c=1 d=2.57404e-35 t=23402
che zai 	車載	c=1 d=8.23255e-07 t=23402
che zhan 	車站	c=1 d=0.000982903 t=23402
chen 	塵	c=1 d=1.96123e-42 t=23402
chen 	晨	c=3 d=0.0124007 t=23402
chen 	趁	c=1 d=0.0305009 t=23402
chen 	陳	c=114 d=4.88587 t=23402
chen chuan 	沈船	c=1 d=1 t=19663
chen deng 	陳登	c=1 d=0.066205 t=23402
chen gong 	陳宮	c=2 d=0.063609 t=23402
chen hun 	晨昏	c=4 d=7.62137e-06 t=23300
chen hun quan 	晨昏圈	c=1 d=6.2867e-11 t=23300
chen mo 	沉默	c=4 d=0.261846 t=23402
chen mo cheng ben 	沉默成本	c=1 d=3.33257e-44 t=23402
chen qi zhen 	陳綺貞	c=10 d=1.24782 t=23402
chen shan 	襯衫	c=8 d=0.000468957 t=23402
chen sheng kai 	陳晟愷	c=9 d=0.20083 t=23402
chen shu 	陳述	c=5 d=0.000430717 t=23402
chen xi 	晨曦	c=1 d=0.0238732 t=23402
chen xiao chun 	陳小春	c=1 d=0.362402 t=23402
chen zhuo 	沉着	c=1 d=0.0639279 t=23300
cheng 	乘	c=1 d=2.45777e-50 t=23402
cheng 	城	c=4 d=0.000337144 t=23402
cheng 	成	c=26 d=0.456133 t=23402
cheng 	程	c=4 d=0.0898153 t=23402
cheng 	稱	c=5 d=1.16047e-07 t=23402
cheng 	誠	c=1 d=5.15588e-31 t=23402
cheng bao 	城堡	c=1 d=0.826959 t=23402
cheng bao 	承包	c=1 d=0.315058 t=23402
cheng ben 	成本	c=13 d=0.883092 t=23402
cheng che 	乘車	c=1 d=1.96564e-39 t=23402
cheng du 	程度	c=5 d=0.008271 t=23402
cheng fa 	乘法	c=1 d=3.0774e-48 t=23402
cheng fa 	懲罰	c=2 d=0.0880368 t=23402
cheng fa zhi 	懲罰值	c=1 d=6.3488e-09 t=23300
cheng fen 	成分	c=5 d=0.208961 t=23402
cheng gong 	成功	c=9 d=0.00448249 t=23402
cheng gong lv 	成功率	c=1 d=0.00798652 t=23402
cheng guo 	成果	c=14 d=0.900397 t=23402
cheng hu 	稱呼	c=1 d=5.52014e-40 t=23402
cheng ji 	成績	c=5 d=0.29689 t=23402
cheng jiao 	成交	c=2 d=6.17606e-08 t=23402
cheng le 	成了	c=3 d=1.24342 t=23300
cheng li 	城裏	c=1 d=0.000176005 t=23300
cheng li 	成立	c=2 d=0.311349 t=23402
cheng long 	成龍	c=42 d=0.600906 t=23300
cheng lou 	城樓	c=1 d=0.000385874 t=23402
cheng nian ren 	成年人	c=1 d=5.16395e-20 t=23402
cheng nuo 	承諾	c=2 d=9.68267e-08 t=23402
cheng qiang 	城牆	c=1 d=0.000380129 t=23402
cheng qu 	城區	c=1 d=2.43e-34 t=23402
cheng quan 	成全	c=2 d=1.28128e-26 t=23402
cheng ren 	成人	c=1 d=2.575e-10 t=23300
cheng ren 	承認	c=2 d=1.38734e-19 t=23402
cheng shi 	城市	c=10 d=0.0515605 t=23402
cheng shu 	成熟	c=2 d=1.77345e-05 t=23402
cheng si yao 	程思遙	c=1 d=2.90281e-08 t=23402
cheng tao 	成套	c=1 d=1 t=22658
cheng wei 	成爲	c=5 d=0.489192 t=23402
cheng xia qu 	撐下去	c=1 d=1.76635e-46 t=23402
cheng xian 	呈現	c=2 d=0.000100535 t=23402
cheng xiao 	成效	c=1 d=0.0129068 t=23402
cheng xing 	成型	c=1 d=0.0204453 t=23300
cheng xu 	程序	c=32 d=0.984408 t=23402
cheng xu yuan 	程序員	c=1 d=1.12241e-35 t=23402
cheng yi 	誠意	c=1 d=3.06257e-50 t=23402
cheng yuan 	成員	c=2 d=0.460704 t=23402
cheng zhang 	成長	c=1 d=6.70777e-09 t=23300
cheng zu 	成組	c=1 d=0.794534 t=23402
cheng zuo 	乘坐	c=1 d=0.00923273 t=23300
chi 	吃	c=17 d=0.913931 t=23402
chi 	尺	c=1 d=1 t=22348
chi 	池	c=9 d=0.142786 t=23402
chi 	遲	c=3 d=1.654 t=23402
chi chi 	遲遲	c=1 d=4.59827e-08 t=23402
chi cun 	尺寸	c=3 d=1.16543e-11 t=23402
chi dao 	遲到	c=1 d=1 t=19998
chi du 	尺度	c=1 d=0.453845 t=23300
chi fan 	吃飯	c=4 d=0.0180866 t=23402
chi fan qu 	吃飯去	c=1 d=0.181772 t=23402
chi gu 	持股	c=1 d=2.20138e-48 t=23402
chi gui 	尺規	c=1 d=1.74426e-45 t=23402
chi guo 	吃過	c=1 d=2.35907e-09 t=23300
chi le 	吃了	c=1 d=0.00137404 t=23300
chi lun 	齒輪	c=4 d=0.615697 t=23402
chi ma 	尺碼	c=3 d=0.0692522 t=23402
chi rou 	吃肉	c=1 d=4.19009e-32 t=23402
chi shang 	吃上	c=1 d=1.80645e-16 t=23402
chi wan 	吃完	c=1 d=1.53459e-09 t=23402
chi xu 	持續	c=2 d=5.53161e-35 t=23402
chi yi ci 	吃一次	c=1 d=6.02459e-10 t=23300
chi zao 	遲早	c=1 d=4.34599e-50 t=23402
chi zi 	尺子	c=1 d=4.0273e-07 t=23402
chi zu 	赤足	c=1 d=0.0497871 t=23402
chong 	充	c=4 d=0.000175127 t=23402
chong 	崇	c=1 d=7.82812e-32 t=23402
chong 	蟲	c=5 d=0.574244 t=23402
chong 	衝	c=3 d=1.19244e-29 t=23402
chong 	重	c=3 d=0.369723 t=23402
chong ai 	寵愛	c=1 d=1 t=19796
chong dang 	充當	c=3 d=0.000314351 t=23402
chong dian 	充電	c=2 d=0.000777055 t=23402
chong die 	重疊	c=5 d=0.0140519 t=23402
chong die du 	重疊度	c=1 d=0.008396 t=23402
chong dong 	蟲洞	c=1 d=1.89255e-05 t=23402
chong fen 	充分	c=1 d=3.53695e-09 t=23402
chong feng 	衝鋒	c=1 d=0.00631391 t=23402
chong fu 	重複	c=6 d=0.0884781 t=23402
chong man 	充滿	c=2 d=3.21819e-05 t=23402
chong pai 	重拍	c=1 d=0.00647375 t=23402
chong qi 	重啓	c=4 d=0.00516939 t=23402
chong qing 	重慶	c=2 d=1.75634e-29 t=23402
chong tu 	衝突	c=2 d=0.763616 t=23402
chong tu de 	衝突的	c=1 d=0.697676 t=23402
chong wu 	寵物	c=1 d=2.76021e-33 t=23402
chong xin 	重新	c=9 d=0.477494 t=23402
chong zai 	重載	c=12 d=4.06584e-37 t=23402
chong zhe 	衝着	c=1 d=0.00331267 t=23402
chong zhen 	崇禎	c=1 d=0.208045 t=23402
chong zhi 	重置	c=4 d=5.85869e-05 t=23402
chong zu 	重組	c=1 d=0.010358 t=23402
chou 	抽	c=2 d=0.00151576 t=23402
chou 	臭	c=1 d=1.95957e-32 t=23402
chou qu 	抽取	c=1 d=0.000340532 t=23300
chou xiang 	抽象	c=10 d=2.68481 t=23402
chu 	出	c=34 d=1.79818 t=23402
chu 	初	c=1 d=1 t=20534
chu 	處	c=9 d=1.22842 t=23402
chu 	除	c=2 d=0.960789 t=23402
chu ban 	出版	c=1 d=2.59903e-31 t=23402
chu ban she 	出版社	c=1 d=2.39798e-25 t=23402
chu bao 	出包	c=1 d=3.95562e-31 t=23402
chu bu 	初步	c=5 d=1.4837 t=23402
chu chai 	出差	c=5 d=4.36799e-16 t=23402
chu chang 	出場	c=1 d=4.30816e-06 t=23402
chu chang 	出廠	c=1 d=1.85723e-48 t=23402
chu ci 	初次	c=1 d=0.0196437 t=23402
chu ci 	除此	c=1 d=5.02601e-25 t=23402
chu cuo 	出錯	c=3 d=0.65377 t=23402
chu dai mu 	初代目	c=3 d=2.1659e-11 t=23402
chu dong 	觸動	c=1 d=4.64197e-31 t=23402
chu fa 	出發	c=5 d=0.329559 t=23402
chu fa 	觸發	c=2 d=8.54931e-10 t=23402
chu fa dian 	出發點	c=1 d=6.05872e-47 t=23402
chu fang 	廚房	c=1 d=0.256661 t=23300
chu fei 	除非	c=1 d=0.0337087 t=23402
chu gao 	初稿	c=6 d=0.206109 t=23402
chu guo 	出國	c=7 d=0.412714 t=23402
chu guo jing 	出國境	c=1 d=0.000312783 t=23402
chu hu 	出乎	c=1 d=4.71388e-06 t=23402
chu ji 	初級	c=1 d=0.0347353 t=23402
chu jing 	出境	c=0 d=0.000162866 t=23402
chu jing 	處境	c=0 d=0.000162053 t=23402
chu jing xian 	出境險	c=1 d=0.00163682 t=23402
chu jing xian 	處境險	c=1 d=0.00162866 t=23402
chu ju 	廚具	c=1 d=0.286505 t=23402
chu kai 	除開	c=1 d=7.31654e-31 t=23402
chu lai 	出來	c=10 d=0.293758 t=23402
chu lai 	初來	c=1 d=1.98958e-05 t=23300
chu lai le 	出來了	c=1 d=1.45223e-07 t=23300
chu le 	除了	c=5 d=0.000101559 t=23402
chu li 	處理	c=19 d=1.00084 t=23402
chu li qi 	處理器	c=3 d=0.445147 t=23402
chu lian 	初戀	c=1 d=8.44096e-07 t=23402
chu luan 	出亂	c=1 d=1.87404e-07 t=23300
chu mai 	出賣	c=1 d=0.00647375 t=23402
chu men 	出門	c=1 d=3.41414e-05 t=23402
chu ming 	出名	c=1 d=6.22732e-17 t=23402
chu mo 	出沒	c=1 d=0.000116806 t=23300
chu peng 	觸碰	c=1 d=1.02336e-07 t=23300
chu qi 	出奇	c=1 d=0.000357992 t=23300
chu qi 	初期	c=1 d=0.000930303 t=23300
chu qu 	出去	c=2 d=0.285076 t=23402
chu ru 	出入	c=1 d=5.08101e-06 t=23402
chu ru jing 	出入境	c=1 d=0.00139481 t=23402
chu shi 	初始	c=5 d=0.50698 t=23402
chu shi 	廚師	c=1 d=0.272532 t=23402
chu shi hua 	初始化	c=6 d=0.536773 t=23402
